Date,Confirmed,Recovered,Deaths,Region
2020-03-28T18:04:05.042Z,59,5,0,Алматы
2020-03-28T18:04:05.042Z,2,0,0,Шымкент
2020-03-28T18:04:05.042Z,6,0,0,Акмолинская область
2020-03-28T18:04:05.042Z,4,0,0,Алматинская область
2020-03-28T18:04:05.042Z,5,0,0,Атырауская область
2020-03-28T18:04:05.042Z,1,0,0,Актюбинская область
2020-03-28T18:04:05.042Z,3,0,0,Жамбылская область
2020-03-28T18:04:05.042Z,1,0,0,Павлодарская область
2020-03-28T18:04:05.042Z,1,0,0,Северо-Казахстанская область
2020-03-28T18:04:05.042Z,1,0,0,Мангистауская область
2020-03-28T18:04:05.042Z,2,0,0,Восточно-Казахстанская область
2020-03-28T18:04:05.042Z,0,0,0,Западно-Казахстанская область
2020-03-28T18:04:05.042Z,7,0,0,Карагандинская область
2020-03-28T18:04:05.042Z,0,0,0,Костанайская область
2020-03-28T18:04:05.042Z,1,0,0,Кызылординская область
2020-03-28T18:04:05.042Z,0,0,0,Туркестанская область
2020-03-28T19:03:41.934Z,229,18,1,Казахстан
2020-03-28T19:03:41.934Z,135,13,1,Нур-Султан
2020-03-28T19:03:41.934Z,60,5,0,Алматы
2020-03-28T19:03:41.934Z,2,0,0,Шымкент
2020-03-28T19:03:41.934Z,6,0,0,Акмолинская область
2020-03-28T19:03:41.934Z,4,0,0,Алматинская область
2020-03-28T19:03:41.934Z,5,0,0,Атырауская область
2020-03-28T19:03:41.934Z,1,0,0,Актюбинская область
2020-03-28T19:03:41.934Z,3,0,0,Жамбылская область
2020-03-28T19:03:41.934Z,1,0,0,Павлодарская область
2020-03-28T19:03:41.934Z,1,0,0,Северо-Казахстанская область
2020-03-28T19:03:41.934Z,1,0,0,Мангистауская область
2020-03-28T19:03:41.934Z,2,0,0,Восточно-Казахстанская область
2020-03-28T19:03:41.934Z,0,0,0,Западно-Казахстанская область
2020-03-28T19:03:41.934Z,7,0,0,Карагандинская область
2020-03-28T19:03:41.934Z,0,0,0,Костанайская область
2020-03-28T19:03:41.934Z,1,0,0,Кызылординская область
2020-03-28T19:03:41.934Z,0,0,0,Туркестанская область
2020-03-28T20:04:14.759Z,229,18,1,Казахстан
2020-03-28T20:04:14.759Z,135,13,1,Нур-Султан
2020-03-28T20:04:14.759Z,60,5,0,Алматы
2020-03-28T20:04:14.759Z,2,0,0,Шымкент
2020-03-28T20:04:14.759Z,6,0,0,Акмолинская область
2020-03-28T20:04:14.759Z,4,0,0,Алматинская область
2020-03-28T20:04:14.759Z,5,0,0,Атырауская область
2020-03-28T20:04:14.759Z,1,0,0,Актюбинская область
2020-03-28T20:04:14.759Z,3,0,0,Жамбылская область
2020-03-28T20:04:14.759Z,1,0,0,Павлодарская область
2020-03-28T20:04:14.759Z,1,0,0,Северо-Казахстанская область
2020-03-28T20:04:14.759Z,1,0,0,Мангистауская область
2020-03-28T20:04:14.759Z,2,0,0,Восточно-Казахстанская область
2020-03-28T20:04:14.759Z,0,0,0,Западно-Казахстанская область
2020-03-28T20:04:14.759Z,7,0,0,Карагандинская область
2020-03-28T20:04:14.759Z,0,0,0,Костанайская область
2020-03-28T20:04:14.759Z,1,0,0,Кызылординская область
2020-03-28T20:04:14.759Z,0,0,0,Туркестанская область
2020-03-28T21:03:44.531Z,229,18,1,Казахстан
2020-03-28T21:03:44.531Z,135,13,1,Нур-Султан
2020-03-28T21:03:44.531Z,60,5,0,Алматы
2020-03-28T21:03:44.531Z,2,0,0,Шымкент
2020-03-28T21:03:44.531Z,6,0,0,Акмолинская область
2020-03-28T21:03:44.531Z,4,0,0,Алматинская область
2020-03-28T21:03:44.531Z,5,0,0,Атырауская область
2020-03-28T21:03:44.531Z,1,0,0,Актюбинская область
2020-03-28T21:03:44.531Z,3,0,0,Жамбылская область
2020-03-28T21:03:44.531Z,1,0,0,Павлодарская область
2020-03-28T21:03:44.531Z,1,0,0,Северо-Казахстанская область
2020-03-28T21:03:44.531Z,1,0,0,Мангистауская область
2020-03-28T21:03:44.531Z,2,0,0,Восточно-Казахстанская область
2020-03-28T21:03:44.531Z,0,0,0,Западно-Казахстанская область
2020-03-28T21:03:44.531Z,7,0,0,Карагандинская область
2020-03-28T21:03:44.531Z,0,0,0,Костанайская область
2020-03-28T21:03:44.531Z,1,0,0,Кызылординская область
2020-03-28T21:03:44.531Z,0,0,0,Туркестанская область
2020-03-28T22:03:44.338Z,229,18,1,Казахстан
2020-03-28T22:03:44.338Z,135,13,1,Нур-Султан
2020-03-28T22:03:44.338Z,60,5,0,Алматы
2020-03-28T22:03:44.338Z,2,0,0,Шымкент
2020-03-28T22:03:44.338Z,6,0,0,Акмолинская область
2020-03-28T22:03:44.338Z,4,0,0,Алматинская область
2020-03-28T22:03:44.338Z,5,0,0,Атырауская область
2020-03-28T22:03:44.338Z,1,0,0,Актюбинская область
2020-03-28T22:03:44.338Z,3,0,0,Жамбылская область
2020-03-28T22:03:44.338Z,1,0,0,Павлодарская область
2020-03-28T22:03:44.338Z,1,0,0,Северо-Казахстанская область
2020-03-28T22:03:44.338Z,1,0,0,Мангистауская область
2020-03-28T22:03:44.338Z,2,0,0,Восточно-Казахстанская область
2020-03-28T22:03:44.338Z,0,0,0,Западно-Казахстанская область
2020-03-28T22:03:44.338Z,7,0,0,Карагандинская область
2020-03-28T22:03:44.338Z,0,0,0,Костанайская область
2020-03-28T22:03:44.338Z,1,0,0,Кызылординская область
2020-03-28T22:03:44.338Z,0,0,0,Туркестанская область
2020-03-28T23:03:47.126Z,229,18,1,Казахстан
